[2021-05-21 19:01:30.124129 +09:00] KRW-TSHP, last: 21.1, min: 19.8
[2021-05-21 19:01:31.082387 +09:00] KRW-TSHP, last: 21.1, min: 19.9
[2021-05-21 19:01:32.106954 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:33.115731 +09:00] KRW-TSHP, last: 21.1, min: 19.9
[2021-05-21 19:01:34.093116 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:35.103057 +09:00] KRW-TSHP, last: 20.9, min: 19.8
[2021-05-21 19:01:36.062401 +09:00] KRW-TSHP, last: 20.9, min: 19.8
[2021-05-21 19:01:37.082107 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:01:38.078540 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:01:39.106888 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:01:40.067513 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:41.077375 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:01:42.085363 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:43.151252 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:01:44.109060 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:01:45.082403 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:46.088997 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:47.092448 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:48.118543 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:49.086157 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:01:50.100328 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:51.123626 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:01:53.078927 +09:00] KRW-TSHP, last: 20.9, min: 19.8
